423.98801	-1.7645134
426.35699	55.929768
428.728	103.57635
431.09698	134.14548
433.466	145.42227
435.83401	139.91838
438.202	123.09145
440.56799	100.95903
442.935	78.440598
445.29999	58.86467
447.66599	44.036549
450.03	34.35656
452.39499	29.207117
454.75699	27.908613
457.12	30.862679
459.48099	39.860764
461.84601	56.81176
464.20599	81.669434
466.56699	111.75963
468.92599	143.72495
471.28601	176.31918
473.64301	211.02156
476.00201	249.80846
478.358	292.39331
480.716	335.32706
483.07101	373.2442
485.427	400.99033
487.78101	415.25754
490.13599	415.05652
492.48999	401.31247
494.84399	376.35318
497.19601	343.5816
499.548	307.09351
501.89899	271.27014
504.25	240.51195
506.599	218.60565
508.94901	207.26764
511.29901	204.9693
513.64801	207.83237
515.995	212.35294
518.34302	217.3293
520.68799	222.99048
523.03497	228.44032
525.37903	230.49434
527.72601	225.55521
530.07098	212.84334
532.41302	195.54346
534.75702	178.28738
537.09802	163.25766
539.44098	148.90405
541.78198	132.63176
544.12402	114.70139
546.46198	99.507431
548.802	93.097839
551.14001	99.093033
553.48102	116.11438
555.81702	138.25487
558.15503	158.05148
560.48999	170.45326
562.82599	175.83195
565.16199	179.72403
567.49799	188.56966
569.83002	204.48511
572.164	223.79958
574.49799	240.67212
576.83099	252.20956
579.16101	260.59857
581.49298	271.12387
583.82202	288.57367
586.15399	315.09378
588.48199	350.02927
590.81097	389.98862
593.14001	428.42651
595.466	456.62872
597.79199	467.38965
600.11902	459.07623
602.44501	436.54648
604.771	408.49036
607.09399	383.80588
609.41901	369.08948
611.742	367.20941
614.06598	376.53833
616.38702	391.53848
618.711	405.43066
621.03003	413.76404
623.35101	416.26178
625.66998	415.84937
627.992	416.63492
630.30902	422.82745
632.62701	438.07971
634.94702	463.80902
637.263	497.39954
639.58002	532.94489
641.896	564.95258
644.21198	591.86719
646.52502	616.24664
648.841	641.83875
651.15302	670.29175
653.466	699.73456
655.77899	725.78955
658.091	744.27502
660.40302	753.85028
662.71399	756.75977
665.02197	757.38037
667.33398	759.93732
669.63898	766.70367
671.948	777.3028
674.25598	789.70496
