Wavelength	A1	A5
1003	0.697923561	0.257470569
1005	0.649635361	0.241569319
1007	0.614196973	0.229292644
1009	0.594484277	0.223514256
1012	0.591950095	0.223839953
1014	0.592401906	0.225178534
1016	0.59813328	0.228662852
1018	0.606392605	0.234467884
1020	0.615362449	0.241995178
1023	0.619670558	0.251200119
1025	0.620500477	0.261057302
1027	0.620991941	0.272819243
1029	0.617586335	0.28804509
1032	0.617337925	0.310432886
1034	0.620793384	0.343813925
1036	0.623196381	0.39026857
1038	0.627284379	0.451669615
1040	0.629849585	0.525208193
1043	0.62945539	0.603267763
1045	0.625012406	0.677332904
1047	0.621014294	0.736101243
1049	0.617572666	0.769514193
1051	0.614792101	0.772488968
1054	0.616065782	0.745488476
1056	0.617401657	0.692265491
1058	0.620312536	0.624601721
1060	0.623859367	0.553050115
1063	0.624997952	0.487347023
1065	0.630323199	0.43589397
1067	0.637072627	0.40125057
1069	0.643563688	0.382677388
1071	0.645785455	0.374148915
1074	0.651454247	0.375649051
1076	0.653355551	0.380669813
1078	0.652866116	0.388818996
1080	0.65417399	0.403081066
1082	0.653275763	0.426190393
1085	0.655182832	0.463402322
1087	0.656431176	0.513281218
1089	0.660731457	0.571869822
1091	0.665222954	0.627191909
1093	0.664035724	0.665335003
1096	0.665350849	0.68049947
1098	0.664882904	0.666294716
1100	0.665255598	0.626211907
1102	0.672024346	0.568489515
1104	0.690859674	0.508185992
1107	0.727938472	0.458798715
1109	0.782242073	0.432250235
1111	0.85161959	0.433451902
1113	0.918542942	0.455321065
1115	0.963662561	0.486154976
1118	0.973257213	0.513820518
1120	0.945425506	0.532255724
1122	0.88504021	0.538673905
1124	0.800660157	0.530706204
1126	0.712310737	0.51311013
1129	0.633511238	0.491072737
1131	0.580070736	0.473339769
1133	0.550988082	0.460491027
1135	0.540747729	0.449813195
1137	0.540534944	0.435827501
1140	0.541004606	0.415162746
1142	0.543114278	0.389180315
1144	0.545696626	0.36008712
1146	0.545975777	0.329382215
1148	0.546095545	0.301196152
1150	0.54833955	0.279367325
1153	0.557242475	0.266848582
1155	0.570857913	0.263313204
1157	0.584987126	0.267704592
1159	0.596764433	0.277148066
